Time[s], Channel 0, Channel 1, Channel 2, Int1, Int2, SCL, SDA, Channel 7
5.4623790625, 1, 1, 1, 1, 1, 1, 1, 1
5.516868875, 1, 1, 1, 1, 1, 0, 1, 1
5.5168705625, 1, 1, 1, 1, 1, 1, 1, 1
5.516888625, 1, 1, 1, 1, 1, 1, 0, 1
5.51689025, 1, 1, 1, 1, 1, 1, 1, 1
5.5248781875, 1, 1, 1, 1, 1, 1, 0, 1
5.5248790625, 1, 1, 1, 1, 1, 0, 0, 1
5.5248808125, 1, 1, 1, 1, 1, 1, 0, 1
5.5248815625, 1, 1, 1, 1, 1, 0, 0, 1
5.5248833125, 1, 1, 1, 1, 1, 1, 0, 1
5.5248840625, 1, 1, 1, 1, 1, 0, 0, 1
5.5248845625, 1, 1, 1, 1, 1, 0, 1, 1
5.5248858125, 1, 1, 1, 1, 1, 1, 1, 1
5.5248865625, 1, 1, 1, 1, 1, 0, 1, 1
5.5248883125, 1, 1, 1, 1, 1, 1, 1, 1
5.5248890625, 1, 1, 1, 1, 1, 0, 1, 1
5.5248908125, 1, 1, 1, 1, 1, 1, 1, 1
5.5248915625, 1, 1, 1, 1, 1, 0, 1, 1
5.524892, 1, 1, 1, 1, 1, 0, 0, 1
5.5248933125, 1, 1, 1, 1, 1, 1, 0, 1
5.5248940625, 1, 1, 1, 1, 1, 0, 0, 1
5.5248945625, 1, 1, 1, 1, 1, 0, 1, 1
5.5248958125, 1, 1, 1, 1, 1, 1, 1, 1
5.5248965625, 1, 1, 1, 1, 1, 0, 1, 1
5.524897, 1, 1, 1, 1, 1, 0, 0, 1
5.5248983125, 1, 1, 1, 1, 1, 1, 0, 1
5.5248990625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249008125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249015625, 1, 1, 1, 1, 1, 0, 0, 1
5.52490175, 1, 1, 1, 1, 1, 0, 1, 1
5.5249024375, 1, 1, 1, 1, 1, 0, 0, 1
5.5249033125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249040625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249058125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249065625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249083125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249090625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249108125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249115625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249120625, 1, 1, 1, 1, 1, 0, 1, 1
5.5249133125, 1, 1, 1, 1, 1, 1, 1, 1
5.5249140625, 1, 1, 1, 1, 1, 0, 1, 1
5.5249158125, 1, 1, 1, 1, 1, 1, 1, 1
5.5249165625, 1, 1, 1, 1, 1, 0, 1, 1
5.524917, 1, 1, 1, 1, 1, 0, 0, 1
5.5249183125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249190625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249195625, 1, 1, 1, 1, 1, 0, 1, 1
5.5249208125, 1, 1, 1, 1, 1, 1, 1, 1
5.5249215625, 1, 1, 1, 1, 1, 0, 1, 1
5.524921625, 1, 1, 1, 1, 1, 0, 0, 1
5.5249233125, 1, 1, 1, 1, 1, 1, 0, 1
5.5249240625, 1, 1, 1, 1, 1, 0, 0, 1
5.52492425, 1, 1, 1, 1, 1, 0, 1, 1
5.52492625, 1, 1, 1, 1, 1, 1, 1, 1
5.524927, 1, 1, 1, 1, 1, 1, 0, 1
5.5249278125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249295625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249303125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249320625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249328125, 1, 1, 1, 1, 1, 0, 0, 1
5.524933375, 1, 1, 1, 1, 1, 0, 1, 1
5.5249345625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249353125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249370625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249378125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249395625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249403125, 1, 1, 1, 1, 1, 0, 1, 1
5.52494075, 1, 1, 1, 1, 1, 0, 0, 1
5.5249420625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249428125, 1, 1, 1, 1, 1, 0, 0, 1
5.524943375, 1, 1, 1, 1, 1, 0, 1, 1
5.5249445625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249453125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249470625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249478125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249479375, 1, 1, 1, 1, 1, 0, 0, 1
5.5249495625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249503125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249520625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249528125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249545625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249553125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249555, 1, 1, 1, 1, 1, 0, 1, 1
5.5249570625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249578125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249579375, 1, 1, 1, 1, 1, 0, 0, 1
5.5249595625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249603125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249605, 1, 1, 1, 1, 1, 0, 1, 1
5.5249620625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249628125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249629375, 1, 1, 1, 1, 1, 0, 0, 1
5.5249645625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249653125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249655, 1, 1, 1, 1, 1, 0, 1, 1
5.5249670625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249678125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249679375, 1, 1, 1, 1, 1, 0, 0, 1
5.5249695625, 1, 1, 1, 1, 1, 1, 0, 1
5.5249703125, 1, 1, 1, 1, 1, 0, 0, 1
5.5249705, 1, 1, 1, 1, 1, 0, 1, 1
5.5249720625, 1, 1, 1, 1, 1, 1, 1, 1
5.5249728125, 1, 1, 1, 1, 1, 0, 1, 1
5.5249735, 1, 1, 1, 1, 1, 0, 0, 1
5.524975, 1, 1, 1, 1, 1, 1, 0, 1
5.524975875, 1, 1, 1, 1, 1, 1, 1, 1
